Nombre%Direccion%INE%Municipio%Inemun%Provincia
B.P.M. “LINGÜISTA ANTONIO NARBONA”%c/ Juan Ramón Jiménez, nº 34 %41550%AGUADULCE%41550 – AGUADULCE%SEVILLA
B.P.M. “IGNACIO Y FRANCISCO MORA”%C/ Juan Carlos I, s/n%41849%AZNALCAZAR %41849 – AZNALCAZAR %SEVILLA
B.P.M. “RAFAEL ALBERTI”%C/ Carnicería, s/n%41570%BADOLATOSA %41570 – BADOLATOSA %SEVILLA
B.P.M. DE HUEVAR DEL ALJARAFE%Plaza de los Cazadores, s/n%41830%HUEVAR DEL ALJARAFE%41830 – HUEVAR DEL ALJARAFE%SEVILLA
B.P.M. “MIGUEL HERNÁNDEZ”%C/ Virgen del Rosario, nº 23%41630%LANTEJUELA%41630 – LANTEJUELA%SEVILLA
B.P.M. DE LORA DE ESTEPA%C/ San Miguel, nº 26%41564%LORA DE ESTEPA%41564 – LORA DE ESTEPA%SEVILLA
B.P.M. DE MARISMILLA%C/ Doña Sol, s/n%41731%"MARISMILLA - 
LAS CABEZAS DE SAN JUAN"%"41731 – MARISMILLA - 
LAS CABEZAS DE SAN JUAN"%SEVILLA
B.P.M. DE LAS NAVAS DE LA CONCEPCIÓN%C/ Velarde, nº 43%41460%LAS NAVAS DE LA CONCEPCIÓN%41460 – LAS NAVAS DE LA CONCEPCIÓN%SEVILLA
B.P.M. DE EL PALMAR DE TROYA%Avda. De Utrera, s/n%41719%"EL PALMAR DE TROYA
UTRERA"%"41719 – EL PALMAR DE TROYA
UTRERA"%SEVILLA
B.P.M. DE PRUNA%C/ Real, nº 17%41670%PRUNA%41670 – PRUNA%SEVILLA
